make,model,year,category,body_type,transmission,fuel_type,engine,mileage,seats,location,sale_price
Honda,Civic,2018,Sedan,Sedan,Manual,Petrol,1.8L,83952,5,Islamabad,3070000
Honda,BR-V,2021,Family,SUV,Automatic,Petrol,1.5L,75555,7,Karachi,3805000
Daihatsu,Mira,2026,Economy,Hatchback,Automatic,Petrol,660cc,0,4,Rawalpindi,2735000
Honda,City,2013,Sedan,Sedan,Manual,Petrol,1.2L,144038,5,Multan,990000
Suzuki,Mehran,2023,Economy,Hatchback,Automatic,Petrol,800cc,40243,4,Quetta,1060000
Suzuki,Wagon R,2020,Hatchback,Hatchback,Automatic,Petrol,1.0L,77141,5,Peshawar,1265000
Toyota,Yaris,2023,Sedan,Sedan,Automatic,Petrol,1.3L,25168,5,Faisalabad,3675000
Suzuki,Alto,2016,Economy,Hatchback,Manual,Petrol,1.0L,126324,4,Lahore,740000
Suzuki,Bolan,2008,Economy,Van,Automatic,Petrol,800cc,177161,8,Islamabad,345000
Honda,City,2025,Sedan,Sedan,Manual,Petrol,1.2L,0,5,Lahore,5940000
Suzuki,Cultus,2012,Hatchback,Hatchback,Automatic,Petrol,1.0L,131066,5,Islamabad,500000
Daihatsu,Mira,2023,Economy,Hatchback,Automatic,Petrol,660cc,36042,4,Rawalpindi,1825000
Toyota,Corolla,2009,Sedan,Sedan,Manual,Petrol,1.8L,168441,5,Quetta,920000
Toyota,Land Cruiser,2014,Luxury,SUV,Automatic,Petrol,3.5L,136817,7,Islamabad,7815000
Hyundai,Tucson,2021,SUV,SUV,Automatic,Petrol,2.0L,69738,5,Peshawar,4885000
Toyota,Hilux,2025,Pickup,Pickup,Automatic,Diesel,2.8L,8189,5,Multan,8965000
Toyota,Yaris,2020,Sedan,Sedan,Manual,Petrol,1.5L,87566,5,Lahore,2075000
Suzuki,Wagon R,2024,Hatchback,Hatchback,Automatic,Petrol,1.0L,38009,5,Karachi,2485000
Suzuki,Mehran,2023,Economy,Hatchback,Automatic,Petrol,800cc,35721,4,Lahore,1185000
Suzuki,Wagon R,2023,Hatchback,Hatchback,Automatic,Petrol,1.0L,36722,5,Rawalpindi,2190000
Honda,BR-V,2026,Family,SUV,Manual,Petrol,1.5L,0,7,Peshawar,5515000
Toyota,Corolla,2024,Sedan,Sedan,Manual,Petrol,1.6L,40762,5,Multan,4535000
Suzuki,Cultus,2023,Hatchback,Hatchback,Manual,Petrol,1.0L,16466,5,Quetta,2365000
Toyota,Land Cruiser,2026,Luxury,SUV,Automatic,Petrol,3.5L,0,7,Faisalabad,36280000
Suzuki,Wagon R,2019,Hatchback,Hatchback,Automatic,Petrol,1.0L,63725,5,Peshawar,1160000
Suzuki,Mehran,2025,Economy,Hatchback,Automatic,Petrol,800cc,8289,4,Karachi,1720000
Honda,City,2024,Sedan,Sedan,Manual,Petrol,1.2L,40465,5,Quetta,4045000
Suzuki,Swift,2020,Hatchback,Hatchback,Automatic,Petrol,1.3L,74875,5,Faisalabad,1890000
Suzuki,Alto,2015,Economy,Hatchback,Manual,Petrol,660cc,111704,4,Rawalpindi,605000
KIA,Sportage,2022,SUV,SUV,Automatic,Petrol,2.0L,53790,5,Faisalabad,4685000
Suzuki,APV,2026,Van,Van,Manual,Petrol,1.5L,0,8,Quetta,4370000
Daihatsu,Mira,2026,Economy,Hatchback,Manual,Petrol,660cc,0,4,Faisalabad,2405000
Toyota,Prius,2011,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,186479,5,Peshawar,1040000
Honda,Vezel,2020,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,69757,5,Karachi,3960000
Toyota,Land Cruiser,2025,Luxury,SUV,Automatic,Petrol,3.5L,6063,7,Karachi,36980000
Suzuki,Swift,2015,Hatchback,Hatchback,Automatic,Petrol,1.3L,142250,5,Multan,1055000
Suzuki,Bolan,2011,Economy,Van,Automatic,Petrol,800cc,210889,8,Faisalabad,350000
Honda,Civic,2021,Sedan,Sedan,Manual,Petrol,1.5L Turbo,66925,5,Faisalabad,4110000
Suzuki,Bolan,2014,Economy,Van,Manual,Petrol,800cc,158763,8,Karachi,545000
Suzuki,Alto,2023,Economy,Hatchback,Automatic,Petrol,660cc,21781,4,Peshawar,1695000
Suzuki,APV,2011,Van,Van,Automatic,Petrol,1.5L,220006,8,Lahore,760000
Toyota,Fortuner,2013,SUV,SUV,Automatic,Petrol,2.7L,158561,7,Multan,3120000
Toyota,Prius,2026,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,0,5,Quetta,6600000
Suzuki,Wagon R,2021,Hatchback,Hatchback,Automatic,Petrol,1.0L,59593,5,Multan,1530000
Suzuki,Bolan,2006,Economy,Van,Automatic,Petrol,800cc,261915,8,Islamabad,340000
Suzuki,Cultus,2025,Hatchback,Hatchback,Automatic,Petrol,1.0L,13251,5,Rawalpindi,3255000
Toyota,Land Cruiser,2017,Luxury,SUV,Automatic,Petrol,3.5L,138011,7,Faisalabad,9725000
Honda,City,2025,Sedan,Sedan,Manual,Petrol,1.5L,12522,5,Peshawar,4285000
Toyota,Fortuner,2019,SUV,SUV,Manual,Diesel,2.7L,90151,7,Lahore,6095000
Suzuki,Bolan,2010,Economy,Van,Manual,Petrol,800cc,137068,8,Multan,340000
Suzuki,Alto,2022,Economy,Hatchback,Manual,Petrol,1.0L,41790,4,Karachi,1400000
Toyota,Yaris,2025,Sedan,Sedan,Manual,Petrol,1.3L,1051,5,Karachi,4750000
Suzuki,Alto,2021,Economy,Hatchback,Manual,Petrol,1.0L,69786,4,Quetta,1250000
Toyota,Prius,2014,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,127057,5,Multan,1595000
Honda,BR-V,2017,Family,SUV,Manual,Petrol,1.5L,105362,7,Quetta,2050000
Suzuki,Bolan,2026,Economy,Van,Automatic,Petrol,800cc,1916,8,Multan,2460000
Honda,City,2011,Sedan,Sedan,Automatic,Petrol,1.2L,128870,5,Islamabad,980000
Toyota,Prius,2011,Hybrid,Hatchback,Manual,Hybrid,1.8L Hybrid,178727,5,Islamabad,950000
KIA,Sportage,2026,SUV,SUV,Automatic,Petrol,2.0L,2836,5,Multan,8580000
Toyota,Hilux,2023,Pickup,Pickup,Manual,Diesel,2.4L,48887,5,Karachi,6020000
Suzuki,Cultus,2022,Hatchback,Hatchback,Automatic,Petrol,1.0L,58716,5,Karachi,2105000
Hyundai,Tucson,2021,SUV,SUV,Automatic,Petrol,2.0L,60537,5,Karachi,5540000
Daihatsu,Mira,2013,Economy,Hatchback,Automatic,Petrol,660cc,181338,4,Lahore,510000
Toyota,Fortuner,2018,SUV,SUV,Automatic,Petrol,2.8L,92229,7,Quetta,5685000
Toyota,Hilux,2013,Pickup,Pickup,Manual,Diesel,2.4L,151754,5,Multan,1730000
Toyota,Fortuner,2012,SUV,SUV,Automatic,Petrol,2.8L,223447,7,Multan,2225000
Hyundai,Tucson,2020,SUV,SUV,Automatic,Petrol,2.0L,62487,5,Karachi,4740000
Toyota,Corolla,2020,Sedan,Sedan,Automatic,Petrol,1.3L,52372,5,Rawalpindi,3475000
Toyota,Corolla,2025,Sedan,Sedan,Manual,Petrol,1.8L,8477,5,Peshawar,5870000
Toyota,Fortuner,2012,SUV,SUV,Manual,Diesel,2.8L,168449,7,Multan,2340000
Toyota,Yaris,2026,Sedan,Sedan,Manual,Petrol,1.3L,10882,5,Quetta,4500000
Suzuki,APV,2017,Van,Van,Automatic,Petrol,1.5L,95271,8,Faisalabad,1710000
Suzuki,Mehran,2019,Economy,Hatchback,Manual,Petrol,800cc,85059,4,Islamabad,750000
KIA,Sportage,2021,SUV,SUV,Automatic,Petrol,2.0L,70786,5,Lahore,4690000
Toyota,Corolla,2015,Sedan,Sedan,Manual,Petrol,1.3L,156285,5,Lahore,1605000
Suzuki,Cultus,2015,Hatchback,Hatchback,Manual,Petrol,1.0L,130766,5,Lahore,860000
Suzuki,Wagon R,2026,Hatchback,Hatchback,Automatic,Petrol,1.0L,6403,5,Islamabad,3095000
Toyota,Yaris,2024,Sedan,Sedan,Automatic,Petrol,1.5L,23039,5,Karachi,4275000
Suzuki,Mehran,2026,Economy,Hatchback,Manual,Petrol,800cc,7759,4,Multan,1480000
Toyota,Land Cruiser,2012,Luxury,SUV,Manual,Petrol,4.6L,183296,7,Quetta,6415000
Hyundai,Tucson,2024,SUV,SUV,Manual,Petrol,2.0L,16461,5,Lahore,7060000
Toyota,Corolla,2022,Sedan,Sedan,Manual,Petrol,1.6L,42753,5,Lahore,4000000
Suzuki,Alto,2014,Economy,Hatchback,Manual,Petrol,660cc,151436,4,Faisalabad,520000
Daihatsu,Mira,2025,Economy,Hatchback,Manual,Petrol,660cc,18930,4,Rawalpindi,2060000
Toyota,Yaris,2022,Sedan,Sedan,Automatic,Petrol,1.5L,35837,5,Quetta,3215000
Honda,BR-V,2025,Family,SUV,Automatic,Petrol,1.5L,36574,7,Lahore,5800000
Suzuki,Wagon R,2022,Hatchback,Hatchback,Automatic,Petrol,1.0L,45506,5,Faisalabad,1745000
Daihatsu,Mira,2025,Economy,Hatchback,Automatic,Petrol,660cc,11518,4,Lahore,2135000
Toyota,Prius,2010,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,174124,5,Peshawar,995000
Toyota,Corolla,2018,Sedan,Sedan,Automatic,Petrol,1.6L,104978,5,Rawalpindi,2620000
Toyota,Corolla,2016,Sedan,Sedan,Automatic,Petrol,1.3L,82489,5,Islamabad,1945000
Hyundai,Tucson,2021,SUV,SUV,Manual,Petrol,2.0L,61212,5,Rawalpindi,4890000
Daihatsu,Mira,2017,Economy,Hatchback,Automatic,Petrol,660cc,92160,4,Karachi,875000
Toyota,Land Cruiser,2024,Luxury,SUV,Manual,Petrol,4.6L,37412,7,Islamabad,21915000
Toyota,Yaris,2025,Sedan,Sedan,Automatic,Petrol,1.5L,10603,5,Multan,4415000
Suzuki,Alto,2013,Economy,Hatchback,Automatic,Petrol,660cc,145836,4,Rawalpindi,485000
Suzuki,Alto,2020,Economy,Hatchback,Automatic,Petrol,1.0L,88082,4,Peshawar,1195000
Toyota,Land Cruiser,2026,Luxury,SUV,Manual,Petrol,3.5L,10016,7,Lahore,37300000
Suzuki,Cultus,2016,Hatchback,Hatchback,Automatic,Petrol,1.0L,114705,5,Peshawar,860000
Suzuki,Mehran,2006,Economy,Hatchback,Automatic,Petrol,800cc,227892,4,Faisalabad,255000
Suzuki,Mehran,2022,Economy,Hatchback,Manual,Petrol,800cc,44535,4,Rawalpindi,985000
Toyota,Yaris,2021,Sedan,Sedan,Automatic,Petrol,1.3L,64224,5,Quetta,2665000
Suzuki,Mehran,2019,Economy,Hatchback,Manual,Petrol,800cc,83543,4,Islamabad,665000
Suzuki,Bolan,2013,Economy,Van,Automatic,Petrol,800cc,159282,8,Lahore,475000
Toyota,Hilux,2018,Pickup,Pickup,Automatic,Diesel,2.4L,57347,5,Lahore,3955000
Toyota,Fortuner,2013,SUV,SUV,Automatic,Diesel,2.7L,157330,7,Faisalabad,3255000
Toyota,Land Cruiser,2022,Luxury,SUV,Manual,Petrol,4.6L,59653,7,Peshawar,19190000
Suzuki,Cultus,2020,Hatchback,Hatchback,Manual,Petrol,1.0L,61955,5,Faisalabad,1490000
Honda,BR-V,2021,Family,SUV,Manual,Petrol,1.5L,50600,7,Rawalpindi,3380000
Suzuki,Bolan,2022,Economy,Van,Automatic,Petrol,800cc,56631,8,Lahore,1390000
Daihatsu,Mira,2020,Economy,Hatchback,Automatic,Petrol,660cc,66818,4,Islamabad,1195000
Honda,BR-V,2023,Family,SUV,Automatic,Petrol,1.5L,35892,7,Lahore,4680000
Suzuki,Cultus,2015,Hatchback,Hatchback,Automatic,Petrol,1.0L,151461,5,Rawalpindi,810000
Toyota,Land Cruiser,2024,Luxury,SUV,Manual,Petrol,4.6L,9681,7,Faisalabad,29565000
Honda,BR-V,2026,Family,SUV,Automatic,Petrol,1.5L,0,7,Quetta,6255000
Suzuki,Wagon R,2025,Hatchback,Hatchback,Manual,Petrol,1.0L,0,5,Quetta,2885000
Suzuki,Bolan,2018,Economy,Van,Automatic,Petrol,800cc,95611,8,Faisalabad,900000
Suzuki,Swift,2015,Hatchback,Hatchback,Automatic,Petrol,1.3L,105970,5,Quetta,1020000
Suzuki,Mehran,2012,Economy,Hatchback,Automatic,Petrol,800cc,213924,4,Karachi,265000
Suzuki,APV,2023,Van,Van,Automatic,Petrol,1.5L,34821,8,Quetta,3040000
Suzuki,Bolan,2016,Economy,Van,Automatic,Petrol,800cc,127962,8,Rawalpindi,740000
Toyota,Land Cruiser,2016,Luxury,SUV,Automatic,Petrol,3.5L,116063,7,Karachi,10625000
Suzuki,Swift,2022,Hatchback,Hatchback,Automatic,Petrol,1.3L,51904,5,Multan,2625000
Suzuki,Alto,2024,Economy,Hatchback,Manual,Petrol,1.0L,24684,4,Quetta,1565000
Toyota,Yaris,2024,Sedan,Sedan,Automatic,Petrol,1.3L,11069,5,Faisalabad,4410000
Suzuki,Cultus,2012,Hatchback,Hatchback,Manual,Petrol,1.0L,192641,5,Faisalabad,580000
Suzuki,Mehran,2022,Economy,Hatchback,Manual,Petrol,800cc,44546,4,Faisalabad,965000
Suzuki,Bolan,2021,Economy,Van,Manual,Petrol,800cc,41523,8,Peshawar,1295000
Daihatsu,Mira,2019,Economy,Hatchback,Manual,Petrol,660cc,92152,4,Multan,970000
Honda,Civic,2020,Sedan,Sedan,Manual,Petrol,1.8L,77112,5,Peshawar,3665000
Suzuki,Swift,2012,Hatchback,Hatchback,Automatic,Petrol,1.3L,148795,5,Faisalabad,830000
Hyundai,Tucson,2022,SUV,SUV,Manual,Petrol,2.0L,43270,5,Multan,6120000
Suzuki,Mehran,2024,Economy,Hatchback,Manual,Petrol,800cc,38004,4,Multan,1035000
Suzuki,Alto,2019,Economy,Hatchback,Manual,Petrol,1.0L,71885,4,Quetta,1050000
Toyota,Corolla,2026,Sedan,Sedan,Manual,Petrol,1.8L,9239,5,Quetta,5940000
Toyota,Hilux,2017,Pickup,Pickup,Automatic,Diesel,2.8L,78982,5,Islamabad,3410000
Suzuki,Bolan,2011,Economy,Van,Automatic,Petrol,800cc,193745,8,Islamabad,370000
Hyundai,Tucson,2023,SUV,SUV,Automatic,Petrol,2.0L,41856,5,Peshawar,6905000
Suzuki,Wagon R,2025,Hatchback,Hatchback,Automatic,Petrol,1.0L,19688,5,Islamabad,2625000
Honda,Civic,2024,Sedan,Sedan,Manual,Petrol,1.8L,21203,5,Karachi,7310000
Toyota,Hilux,2014,Pickup,Pickup,Automatic,Diesel,2.4L,136302,5,Peshawar,2275000
Suzuki,Alto,2012,Economy,Hatchback,Automatic,Petrol,1.0L,165883,4,Lahore,445000
Honda,BR-V,2024,Family,SUV,Manual,Petrol,1.5L,34196,7,Peshawar,4100000
Honda,Civic,2017,Sedan,Sedan,Manual,Petrol,1.8L,106451,5,Faisalabad,2785000
Toyota,Hilux,2024,Pickup,Pickup,Automatic,Diesel,2.8L,20884,5,Islamabad,8970000
Suzuki,Mehran,2017,Economy,Hatchback,Manual,Petrol,800cc,103272,4,Lahore,505000
Toyota,Fortuner,2012,SUV,SUV,Manual,Petrol,2.8L,113859,7,Faisalabad,2530000
Daihatsu,Mira,2020,Economy,Hatchback,Automatic,Petrol,660cc,88845,4,Lahore,1170000
Daihatsu,Mira,2025,Economy,Hatchback,Automatic,Petrol,660cc,32388,4,Faisalabad,2160000
Suzuki,Swift,2018,Hatchback,Hatchback,Automatic,Petrol,1.3L,115167,5,Multan,1500000
Suzuki,Cultus,2021,Hatchback,Hatchback,Automatic,Petrol,1.0L,53343,5,Rawalpindi,1955000
Suzuki,Alto,2014,Economy,Hatchback,Automatic,Petrol,660cc,131849,4,Rawalpindi,600000
Toyota,Fortuner,2019,SUV,SUV,Automatic,Diesel,2.7L,71624,7,Rawalpindi,6980000
Hyundai,Tucson,2024,SUV,SUV,Automatic,Petrol,2.0L,23479,5,Rawalpindi,7355000
Suzuki,Wagon R,2018,Hatchback,Hatchback,Manual,Petrol,1.0L,80390,5,Rawalpindi,970000
Suzuki,Mehran,2020,Economy,Hatchback,Manual,Petrol,800cc,63201,4,Peshawar,710000
Suzuki,Swift,2023,Hatchback,Hatchback,Manual,Petrol,1.3L,36243,5,Karachi,3045000
Suzuki,Bolan,2023,Economy,Van,Manual,Petrol,800cc,36599,8,Quetta,1635000
Suzuki,Swift,2013,Hatchback,Hatchback,Automatic,Petrol,1.3L,186463,5,Islamabad,695000
Toyota,Fortuner,2024,SUV,SUV,Manual,Diesel,2.7L,31318,7,Lahore,10535000
Suzuki,Bolan,2022,Economy,Van,Automatic,Petrol,800cc,39983,8,Lahore,1375000
Honda,BR-V,2019,Family,SUV,Automatic,Petrol,1.5L,75789,7,Quetta,2635000
Toyota,Land Cruiser,2025,Luxury,SUV,Manual,Petrol,4.6L,6529,7,Multan,30490000
Honda,City,2019,Sedan,Sedan,Manual,Petrol,1.2L,80988,5,Quetta,2145000
Suzuki,Swift,2014,Hatchback,Hatchback,Manual,Petrol,1.3L,168728,5,Quetta,840000
Honda,Vezel,2019,Hybrid,SUV,Manual,Hybrid,1.5L Hybrid,89775,5,Rawalpindi,3550000
Suzuki,APV,2026,Van,Van,Automatic,Petrol,1.5L,0,8,Rawalpindi,4185000
Suzuki,Bolan,2020,Economy,Van,Automatic,Petrol,800cc,87522,8,Faisalabad,1150000
Toyota,Yaris,2025,Sedan,Sedan,Manual,Petrol,1.5L,23714,5,Karachi,3975000
Suzuki,APV,2011,Van,Van,Manual,Petrol,1.5L,142474,8,Faisalabad,690000
Suzuki,Cultus,2022,Hatchback,Hatchback,Manual,Petrol,1.0L,41067,5,Peshawar,1700000
Daihatsu,Mira,2015,Economy,Hatchback,Manual,Petrol,660cc,119568,4,Rawalpindi,570000
Suzuki,APV,2021,Van,Van,Automatic,Petrol,1.5L,58193,8,Rawalpindi,2675000
Toyota,Fortuner,2014,SUV,SUV,Automatic,Petrol,2.8L,149134,7,Multan,3010000
Daihatsu,Mira,2025,Economy,Hatchback,Automatic,Petrol,660cc,16514,4,Rawalpindi,2050000
Suzuki,Bolan,2010,Economy,Van,Automatic,Petrol,800cc,176147,8,Lahore,365000
Toyota,Hilux,2021,Pickup,Pickup,Automatic,Diesel,2.4L,66860,5,Faisalabad,5195000
Suzuki,APV,2026,Van,Van,Automatic,Petrol,1.5L,0,8,Rawalpindi,5100000
KIA,Sportage,2026,SUV,SUV,Manual,Petrol,2.0L,1575,5,Lahore,8550000
Suzuki,Mehran,2005,Economy,Hatchback,Automatic,Petrol,800cc,251226,4,Islamabad,255000
Toyota,Land Cruiser,2026,Luxury,SUV,Manual,Petrol,4.6L,0,7,Peshawar,34210000
Suzuki,Alto,2014,Economy,Hatchback,Automatic,Petrol,660cc,137473,4,Rawalpindi,565000
Suzuki,Wagon R,2023,Hatchback,Hatchback,Automatic,Petrol,1.0L,44640,5,Lahore,2335000
Daihatsu,Mira,2015,Economy,Hatchback,Automatic,Petrol,660cc,123093,4,Peshawar,545000
Suzuki,Wagon R,2026,Hatchback,Hatchback,Manual,Petrol,1.0L,0,5,Islamabad,3070000
Suzuki,Cultus,2014,Hatchback,Hatchback,Manual,Petrol,1.0L,143534,5,Multan,710000
Honda,Vezel,2014,Hybrid,SUV,Manual,Hybrid,1.5L Hybrid,158373,5,Karachi,1955000
Suzuki,Bolan,2023,Economy,Van,Manual,Petrol,800cc,27198,8,Multan,1555000
Toyota,Fortuner,2025,SUV,SUV,Manual,Petrol,2.8L,20258,7,Lahore,13055000
Honda,BR-V,2022,Family,SUV,Automatic,Petrol,1.5L,39377,7,Quetta,3715000
Suzuki,APV,2013,Van,Van,Manual,Petrol,1.5L,172360,8,Peshawar,740000
Suzuki,Swift,2022,Hatchback,Hatchback,Automatic,Petrol,1.3L,44799,5,Islamabad,2895000
Honda,City,2010,Sedan,Sedan,Automatic,Petrol,1.2L,204801,5,Peshawar,865000
Suzuki,Cultus,2025,Hatchback,Hatchback,Manual,Petrol,1.0L,22819,5,Lahore,2710000
Suzuki,Cultus,2024,Hatchback,Hatchback,Automatic,Petrol,1.0L,17685,5,Faisalabad,2340000
Toyota,Land Cruiser,2021,Luxury,SUV,Manual,Petrol,4.6L,62183,7,Karachi,19660000
Toyota,Prius,2015,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,114975,5,Faisalabad,1705000
Suzuki,Wagon R,2019,Hatchback,Hatchback,Automatic,Petrol,1.0L,100372,5,Faisalabad,1065000
Suzuki,Bolan,2017,Economy,Van,Manual,Petrol,800cc,102643,8,Karachi,795000
Suzuki,Swift,2010,Hatchback,Hatchback,Automatic,Petrol,1.3L,194318,5,Rawalpindi,630000
Toyota,Corolla,2011,Sedan,Sedan,Automatic,Petrol,1.8L,203429,5,Karachi,1020000
Suzuki,Bolan,2014,Economy,Van,Manual,Petrol,800cc,149827,8,Islamabad,485000
Daihatsu,Mira,2018,Economy,Hatchback,Automatic,Petrol,660cc,93708,4,Multan,925000
Hyundai,Tucson,2021,SUV,SUV,Automatic,Petrol,2.0L,50315,5,Lahore,6395000
Toyota,Hilux,2014,Pickup,Pickup,Automatic,Diesel,2.4L,147561,5,Karachi,2320000
Suzuki,Cultus,2018,Hatchback,Hatchback,Automatic,Petrol,1.0L,95363,5,Peshawar,1180000
Honda,Civic,2020,Sedan,Sedan,Manual,Petrol,1.5L Turbo,72473,5,Multan,4135000
KIA,Sportage,2026,SUV,SUV,Manual,Petrol,2.0L,0,5,Karachi,9290000
Suzuki,Mehran,2023,Economy,Hatchback,Automatic,Petrol,800cc,31927,4,Lahore,1125000
Honda,Vezel,2026,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,4300,5,Quetta,8640000
Toyota,Land Cruiser,2026,Luxury,SUV,Automatic,Petrol,3.5L,0,7,Lahore,38305000
Toyota,Prius,2010,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,174407,5,Quetta,935000
Suzuki,Bolan,2024,Economy,Van,Manual,Petrol,800cc,16742,8,Peshawar,1775000
Toyota,Corolla,2012,Sedan,Sedan,Automatic,Petrol,1.3L,152383,5,Islamabad,1080000
Honda,Civic,2020,Sedan,Sedan,Automatic,Petrol,1.8L,77454,5,Faisalabad,3700000
Suzuki,Wagon R,2021,Hatchback,Hatchback,Manual,Petrol,1.0L,72830,5,Islamabad,1730000
Honda,Vezel,2016,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,109228,5,Lahore,2220000
Suzuki,Wagon R,2023,Hatchback,Hatchback,Automatic,Petrol,1.0L,45172,5,Multan,1920000
Daihatsu,Mira,2025,Economy,Hatchback,Manual,Petrol,660cc,9741,4,Peshawar,2155000
Toyota,Yaris,2023,Sedan,Sedan,Automatic,Petrol,1.5L,33931,5,Lahore,3890000
Honda,Civic,2024,Sedan,Sedan,Automatic,Petrol,1.8L,29034,5,Multan,6505000
Toyota,Corolla,2015,Sedan,Sedan,Automatic,Petrol,1.6L,166504,5,Rawalpindi,1715000
Suzuki,Cultus,2020,Hatchback,Hatchback,Manual,Petrol,1.0L,58130,5,Islamabad,1700000
Toyota,Fortuner,2017,SUV,SUV,Manual,Diesel,2.8L,91627,7,Rawalpindi,5300000
Toyota,Corolla,2008,Sedan,Sedan,Automatic,Petrol,1.8L,217614,5,Karachi,965000
Daihatsu,Mira,2023,Economy,Hatchback,Automatic,Petrol,660cc,38239,4,Peshawar,1635000
Toyota,Prius,2017,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,105083,5,Islamabad,2220000
Suzuki,Wagon R,2023,Hatchback,Hatchback,Automatic,Petrol,1.0L,35108,5,Lahore,2105000
Honda,BR-V,2018,Family,SUV,Manual,Petrol,1.5L,84994,7,Lahore,2310000
Hyundai,Tucson,2022,SUV,SUV,Automatic,Petrol,2.0L,44974,5,Faisalabad,5545000
Honda,City,2019,Sedan,Sedan,Automatic,Petrol,1.2L,48096,5,Quetta,2600000
Toyota,Fortuner,2023,SUV,SUV,Manual,Petrol,2.8L,35405,7,Faisalabad,9660000
Toyota,Prius,2022,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,61592,5,Lahore,3870000
KIA,Sportage,2026,SUV,SUV,Automatic,Petrol,2.0L,0,5,Lahore,8705000
Suzuki,Cultus,2013,Hatchback,Hatchback,Manual,Petrol,1.0L,161471,5,Multan,500000
Honda,BR-V,2024,Family,SUV,Automatic,Petrol,1.5L,30562,7,Lahore,5800000
Toyota,Land Cruiser,2019,Luxury,SUV,Automatic,Petrol,3.5L,77833,7,Peshawar,15450000
Suzuki,Swift,2021,Hatchback,Hatchback,Manual,Petrol,1.3L,52521,5,Rawalpindi,2140000
Toyota,Hilux,2014,Pickup,Pickup,Automatic,Diesel,2.4L,139771,5,Islamabad,2395000
KIA,Sportage,2024,SUV,SUV,Manual,Petrol,2.0L,14776,5,Multan,6450000
Suzuki,Bolan,2024,Economy,Van,Manual,Petrol,800cc,7611,8,Lahore,1820000
Suzuki,Bolan,2026,Economy,Van,Automatic,Petrol,800cc,0,8,Quetta,2385000
Suzuki,Cultus,2021,Hatchback,Hatchback,Manual,Petrol,1.0L,48759,5,Faisalabad,1505000
Suzuki,Alto,2020,Economy,Hatchback,Automatic,Petrol,1.0L,60036,4,Multan,1195000
Suzuki,Mehran,2024,Economy,Hatchback,Manual,Petrol,800cc,25526,4,Peshawar,1305000
Honda,Civic,2021,Sedan,Sedan,Automatic,Petrol,1.5L Turbo,42823,5,Rawalpindi,4935000
Suzuki,Swift,2020,Hatchback,Hatchback,Manual,Petrol,1.3L,60029,5,Multan,2005000
Suzuki,Bolan,2005,Economy,Van,Manual,Petrol,800cc,238795,8,Quetta,320000
Suzuki,Mehran,2026,Economy,Hatchback,Manual,Petrol,800cc,1603,4,Karachi,1655000
Suzuki,Alto,2012,Economy,Hatchback,Manual,Petrol,1.0L,172887,4,Rawalpindi,365000
Toyota,Yaris,2023,Sedan,Sedan,Manual,Petrol,1.5L,14096,5,Quetta,3785000
Honda,Vezel,2022,Hybrid,SUV,Automatic,Hybrid,1.5L Hybrid,48148,5,Karachi,5705000
Daihatsu,Mira,2010,Economy,Hatchback,Manual,Petrol,660cc,219828,4,Rawalpindi,400000
Toyota,Fortuner,2017,SUV,SUV,Automatic,Diesel,2.7L,99178,7,Lahore,4650000
Suzuki,Alto,2012,Economy,Hatchback,Automatic,Petrol,1.0L,150776,4,Quetta,415000
Toyota,Prius,2011,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,162980,5,Quetta,1010000
Suzuki,APV,2026,Van,Van,Automatic,Petrol,1.5L,6310,8,Lahore,4920000
Suzuki,Wagon R,2015,Hatchback,Hatchback,Manual,Petrol,1.0L,157286,5,Peshawar,630000
Toyota,Yaris,2023,Sedan,Sedan,Automatic,Petrol,1.3L,39323,5,Peshawar,3545000
Honda,BR-V,2022,Family,SUV,Automatic,Petrol,1.5L,53751,7,Quetta,4120000
Suzuki,Alto,2019,Economy,Hatchback,Manual,Petrol,660cc,71759,4,Islamabad,935000
Honda,City,2021,Sedan,Sedan,Manual,Petrol,1.5L,57541,5,Rawalpindi,2645000
Suzuki,APV,2020,Van,Van,Automatic,Petrol,1.5L,73352,8,Rawalpindi,2145000
Toyota,Corolla,2015,Sedan,Sedan,Manual,Petrol,1.3L,127004,5,Islamabad,1450000
Suzuki,APV,2026,Van,Van,Automatic,Petrol,1.5L,0,8,Karachi,5260000
Honda,BR-V,2022,Family,SUV,Automatic,Petrol,1.5L,35190,7,Multan,4090000
Toyota,Prius,2016,Hybrid,Hatchback,Automatic,Hybrid,1.8L Hybrid,138666,5,Peshawar,1935000
Suzuki,Mehran,2016,Economy,Hatchback,Manual,Petrol,800cc,98216,4,Peshawar,500000
